,0,1,2,3,4,Shape Index
215,0.02,0.015,0.42,0.545,0.0,216
216,0.0,0.035,0.9,0.065,0.0,217
217,0.07,0.03,0.315,0.5,0.085,218
218,0.02,0.015,0.08,0.615,0.27,219
219,0.07,0.06,0.6,0.265,0.005,220
220,0.0,0.485,0.515,0.0,0.0,221
221,0.0,0.195,0.7,0.105,0.0,222
222,0.06,0.025,0.685,0.23,0.0,223
223,0.015,0.0,0.02,0.935,0.03,224
224,0.07,0.0,0.07,0.855,0.005,225
225,0.005,0.365,0.625,0.005,0.0,226
226,0.015,0.005,0.61,0.37,0.0,227
227,0.08,0.005,0.315,0.6,0.0,228
228,0.035,0.0,0.05,0.915,0.0,229
229,0.085,0.01,0.075,0.745,0.085,230
230,0.01,0.01,0.005,0.83,0.145,231
231,0.02,0.0,0.08,0.875,0.025,232
232,0.095,0.03,0.495,0.34,0.04,233
233,0.0,0.08,0.85,0.07,0.0,234
234,0.02,0.095,0.69,0.19,0.005,235
235,0.0,0.13,0.79,0.07,0.01,236
236,0.06,0.015,0.135,0.58,0.21,237
237,0.015,0.115,0.78,0.085,0.005,238
238,0.005,0.32,0.67,0.005,0.0,239
239,0.0,0.5,0.5,0.0,0.0,240
240,0.005,0.295,0.695,0.005,0.0,241
241,0.065,0.07,0.565,0.295,0.005,242
242,0.065,0.055,0.42,0.455,0.005,243
243,0.035,0.015,0.48,0.47,0.0,244
244,0.015,0.015,0.675,0.295,0.0,245
245,0.005,0.275,0.685,0.035,0.0,246
246,0.005,0.01,0.8,0.185,0.0,247
247,0.005,0.055,0.85,0.09,0.0,248
248,0.0,0.015,0.825,0.16,0.0,249
249,0.0,0.51,0.49,0.0,0.0,250
250,0.0,0.35,0.64,0.01,0.0,251
251,0.02,0.01,0.555,0.395,0.02,252
252,0.03,0.0,0.025,0.91,0.035,253
253,0.035,0.005,0.195,0.75,0.015,254
254,0.025,0.0,0.035,0.935,0.005,255
255,0.01,0.065,0.555,0.365,0.005,256
256,0.005,0.285,0.7,0.01,0.0,257
257,0.0,0.03,0.895,0.075,0.0,258
258,0.06,0.07,0.57,0.295,0.005,259
259,0.055,0.01,0.165,0.68,0.09,260
260,0.005,0.455,0.54,0.0,0.0,261
261,0.005,0.335,0.63,0.03,0.0,262
262,0.005,0.06,0.91,0.025,0.0,263
263,0.04,0.025,0.345,0.585,0.005,264
264,0.0,0.19,0.78,0.03,0.0,265
265,0.0,0.205,0.78,0.015,0.0,266
266,0.155,0.01,0.175,0.62,0.04,267
267,0.2,0.005,0.31,0.485,0.0,268
268,0.175,0.0,0.315,0.51,0.0,269
269,0.115,0.005,0.2,0.68,0.0,270
270,0.005,0.22,0.715,0.06,0.0,271
271,0.005,0.34,0.65,0.005,0.0,272
272,0.005,0.32,0.635,0.04,0.0,273
273,0.0,0.525,0.475,0.0,0.0,274
274,0.0,0.52,0.48,0.0,0.0,275
275,0.035,0.065,0.38,0.395,0.125,276
276,0.0,0.085,0.88,0.035,0.0,277
277,0.005,0.23,0.7,0.065,0.0,278
278,0.005,0.365,0.63,0.0,0.0,279
279,0.07,0.01,0.135,0.725,0.06,280
280,0.01,0.065,0.855,0.07,0.0,281
281,0.08,0.01,0.11,0.79,0.01,282
282,0.0,0.4,0.595,0.005,0.0,283
283,0.0,0.525,0.475,0.0,0.0,284
284,0.005,0.01,0.905,0.08,0.0,285
285,0.005,0.04,0.705,0.25,0.0,286
286,0.12,0.015,0.435,0.385,0.045,287
287,0.005,0.015,0.68,0.3,0.0,288
288,0.01,0.0,0.025,0.965,0.0,289
289,0.185,0.0,0.18,0.63,0.005,290
290,0.09,0.005,0.135,0.725,0.045,291
291,0.045,0.0,0.13,0.815,0.01,292
292,0.215,0.005,0.22,0.56,0.0,293
293,0.0,0.06,0.765,0.175,0.0,294
294,0.135,0.025,0.285,0.47,0.085,295
295,0.185,0.005,0.255,0.55,0.005,296
296,0.025,0.0,0.045,0.915,0.015,297
297,0.03,0.0,0.1,0.85,0.02,298
298,0.08,0.025,0.59,0.285,0.02,299
299,0.03,0.0,0.115,0.85,0.005,300
