Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Klhl29,0,0,0,0,0,0,0,0,0
Klhl3,0,0,0,0,0,0,0,0,0
Klhl30,0,0,0,0,0,0,0,0,0
Klhl31,0,0,0,0,0,0,0,0,0
Klhl32,0,0,0,0,0,0,0,0,0
Klhl33,0,0,0,0,0,0,0,0,0
Klhl34,0,0,0,0,0,0,0,0,0
Klhl35,0,0,0,0,0,0,0,0,0
Klhl36,1.11849E-06,3.30125E-06,2.47422E-06,1.55384E-06,1.54476E-06,1.76755E-06,2.54744E-06,1.92618E-06,2.11626E-06
Klhl38,0,0,0,0,0,0,0,0,0
Klhl4,0,0,0,0,0,0,0,0,0
Klhl5;mKIAA4221,1.19816E-05,9.49553E-06,8.04256E-06,8.67066E-06,9.52759E-06,1.22794E-05,1.10899E-05,7.68206E-06,7.71721E-06
Klhl6,5.12036E-10,8.38879E-08,3.61213E-07,5.27223E-07,3.68173E-07,3.97487E-07,4.21153E-07,3.52906E-07,4.57412E-07
Klhl7,3.4446E-06,3.68296E-06,4.09632E-06,2.93903E-06,3.20177E-06,2.26323E-06,2.85616E-06,2.47618E-06,2.25271E-06
Klhl8,1.55933E-07,1.13551E-06,1.52404E-06,3.16026E-06,2.20841E-06,1.94524E-06,2.77773E-06,2.63033E-06,2.05295E-06
Klhl9,3.71733E-06,1.48439E-06,1.89231E-06,4.61813E-06,3.08859E-06,3.69655E-06,3.53121E-06,2.51196E-06,1.85244E-06
Klk1,0,0,0,0,0,0,0,0,0
Klk10,0,0,0,0,0,0,0,0,0
Klk11,0,0,0,0,0,0,0,0,0
Klk12,0,0,0,0,0,0,0,0,0
Klk13,0,0,0,0,0,0,0,0,0
Klk14,0,0,0,0,0,0,0,0,0
Klk15,0,0,0,0,0,0,0,0,0
Klk1b1,0,0,0,0,0,0,0,0,0
Klk1b11,0,0,0,0,0,0,0,0,0
Klk1b16,0,0,0,0,0,0,0,0,0
Klk1b21,0,0,0,0,0,0,0,0,0
Klk1b22,0,0,0,0,0,0,0,0,0
Klk1b24,0,0,0,0,0,0,0,0,0
Klk1b26,0,0,0,0,0,0,0,0,0
