sample	slide	frame	sample_batch	evobox	mouse	tims_adj	included
slide11_frame20	11	20	3	2	5	0	TRUE
slide11_frame21	11	21	3	2	5	0	TRUE
slide11_frame22	11	22	3	2	5	0	TRUE
slide12_frame01	12	1	4	3	3	1	TRUE
slide12_frame02	12	2	4	3	3	1	TRUE
slide12_frame03	12	3	4	3	3	1	TRUE
slide12_frame04	12	4	4	3	3	1	TRUE
slide12_frame05	12	5	4	3	3	1	FALSE
slide12_frame06	12	6	4	3	3	1	TRUE
slide12_frame07	12	7	4	3	3	1	TRUE
slide12_frame08	12	8	4	3	3	1	FALSE
slide12_frame09	12	9	4	3	3	1	TRUE
slide12_frame10	12	10	4	3	3	1	TRUE
slide12_frame11	12	11	4	3	3	1	TRUE
slide12_frame12	12	12	4	3	3	1	TRUE
slide12_frame13	12	13	4	3	3	1	TRUE
slide12_frame14	12	14	4	3	3	1	TRUE
slide12_frame15	12	15	4	3	3	1	TRUE
slide12_frame16	12	16	4	3	3	1	FALSE
slide12_frame17	12	17	4	3	3	1	TRUE
slide12_frame18	12	18	4	3	3	1	TRUE
slide12_frame19	12	19	4	3	3	1	TRUE
slide12_frame20	12	20	4	3	3	1	TRUE
slide12_frame21	12	21	4	3	3	1	TRUE
slide12_frame22	12	22	4	3	3	1	TRUE
slide13_frame01	13	1	3	2	4	0	TRUE
slide13_frame02	13	2	3	2	4	0	FALSE
slide13_frame03	13	3	3	2	4	0	TRUE
slide13_frame04	13	4	3	2	4	0	TRUE
slide13_frame05	13	5	3	2	4	0	TRUE
slide13_frame06	13	6	3	2	4	0	TRUE
slide13_frame07	13	7	3	2	4	0	TRUE
slide13_frame08	13	8	3	2	4	0	TRUE
slide13_frame09	13	9	3	2	4	0	TRUE
slide13_frame10	13	10	3	2	4	0	FALSE
slide13_frame11	13	11	3	2	4	0	TRUE
slide13_frame12	13	12	3	2	4	0	TRUE
slide13_frame13	13	13	3	2	4	0	TRUE
slide13_frame14	13	14	3	2	4	0	TRUE
slide13_frame15	13	15	3	2	4	0	TRUE
slide13_frame16	13	16	3	2	4	0	TRUE
slide13_frame17	13	17	3	2	4	0	TRUE
slide13_frame18	13	18	3	2	4	0	TRUE
slide13_frame19	13	19	3	2	4	0	TRUE
slide13_frame20	13	20	3	2	4	0	TRUE
slide13_frame21	13	21	3	2	4	0	TRUE
slide13_frame22	13	22	3	2	4	0	TRUE
slide14_frame01	14	1	3	2	2	0	TRUE
slide14_frame02	14	2	3	2	2	0	TRUE
slide14_frame03	14	3	3	2	2	0	TRUE
slide14_frame04	14	4	3	2	2	0	TRUE
slide14_frame05	14	5	3	2	2	0	TRUE
slide14_frame06	14	6	3	2	2	0	TRUE
slide14_frame07	14	7	3	2	2	0	TRUE
slide14_frame08	14	8	3	2	2	0	TRUE
slide14_frame09	14	9	3	2	2	0	TRUE
slide14_frame10	14	10	3	2	2	0	TRUE
slide14_frame11	14	11	3	2	2	0	TRUE
slide14_frame12	14	12	3	2	2	0	FALSE
slide14_frame13	14	13	3	2	2	0	TRUE
slide14_frame14	14	14	3	2	2	0	TRUE
slide14_frame15	14	15	3	2	2	0	TRUE
slide14_frame16	14	16	3	2	2	0	TRUE
slide14_frame17	14	17	3	2	2	0	TRUE
slide14_frame18	14	18	3	2	2	0	TRUE
slide14_frame19	14	19	3	2	2	0	FALSE
slide14_frame20	14	20	3	2	2	0	TRUE
slide14_frame21	14	21	3	2	2	0	TRUE
slide14_frame22	14	22	3	2	2	0	TRUE
slide16_frame01	16	1	4	3	1	1	TRUE
slide16_frame02	16	2	4	3	1	1	TRUE
slide16_frame03	16	3	4	3	1	1	TRUE
slide16_frame04	16	4	4	3	1	1	TRUE
slide16_frame05	16	5	4	3	1	1	TRUE
slide16_frame06	16	6	4	3	1	1	FALSE
slide16_frame07	16	7	4	3	1	1	TRUE
slide16_frame08	16	8	4	3	1	1	TRUE
slide16_frame09	16	9	4	3	1	1	TRUE
slide16_frame10	16	10	4	3	1	1	TRUE
slide16_frame11	16	11	4	3	1	1	TRUE
slide16_frame12	16	12	4	3	1	1	TRUE
slide16_frame13	16	13	4	3	1	1	TRUE
slide16_frame14	16	14	4	3	1	1	FALSE
slide16_frame15	16	15	4	3	1	1	FALSE
slide16_frame16	16	16	4	3	1	1	FALSE
slide16_frame17	16	17	4	3	1	1	FALSE
slide16_frame18	16	18	4	3	1	1	FALSE
slide16_frame19	16	19	4	3	1	1	FALSE
slide16_frame20	16	20	4	3	1	1	FALSE
slide16_frame21	16	21	4	3	1	1	FALSE
slide16_frame22	16	22	4	3	1	1	FALSE
