cell_ID	range	bin	ratio	bio_ID	Index	run	label_short	dist_to_central_vein(pixels)	dist_to_portal_vein(pixels)	sum_distance	included	Hepatocyte
m3B_01_target8	(0.167,0.215]	8	0.18181818181818182	m3B	155	1	8	999	222	1221	TRUE	TRUE
m3B_22_target4	(0.167,0.215]	8	0.212636695018226	m3B	197	22	4	648	175	823	TRUE	TRUE
m3B_50_target4	(0.167,0.215]	8	0.1836734693877551	m3B	144	50	4	1080	243	1323	TRUE	TRUE
m3B_56_target8	(0.167,0.215]	8	0.1744765702891326	m3B	200	56	8	828	175	1003	TRUE	TRUE
m3B_74_target4	(0.167,0.215]	8	0.1763869132290185	m3B	236	74	4	579	124	703	TRUE	TRUE
m3B_74_target8	(0.167,0.215]	8	0.2013793103448276	m3B	258	74	8	579	146	725	TRUE	TRUE
m4A_17_target4	(0.215,0.262]	7	0.21731890091590342	m4A	56	17	4	940	261	1201	TRUE	TRUE
m4A_20_target4	(0.215,0.262]	7	0.22157996146435452	m4A	62	20	4	1212	345	1557	TRUE	TRUE
m4A_32_target8	(0.215,0.262]	7	0.25977653631284914	m4A	130	32	8	1060	372	1432	TRUE	TRUE
m4A_33_target8	(0.215,0.262]	7	0.23331709693132002	m4A	132	33	8	1574	479	2053	TRUE	TRUE
m4A_36_target8	(0.215,0.262]	7	0.22131147540983606	m4A	160	36	8	855	243	1098	TRUE	TRUE
m4A_38_target8	(0.215,0.262]	7	0.25014749262536873	m4A	164	38	8	1271	424	1695	TRUE	TRUE
m4A_60_target8	(0.215,0.262]	7	0.21802002224694106	m4A	252	60	8	703	196	899	TRUE	TRUE
m4A_76_target4	(0.215,0.262]	7	0.21993127147766323	m4A	284	76	4	1135	320	1455	TRUE	TRUE
m4A_67_target8	(0.215,0.262]	7	0.23515248796147672	m4A	288	67	8	953	293	1246	TRUE	TRUE
m5C_07_target8	(0.215,0.262]	7	0.24371069182389937	m5C	36	7	8	962	310	1272	TRUE	TRUE
m5C_39_target4	(0.215,0.262]	7	0.25418060200668896	m5C	144	39	4	669	228	897	TRUE	TRUE
m5C_49_target4	(0.215,0.262]	7	0.23315259488768397	m5C	186	49	4	990	301	1291	TRUE	TRUE
m5C_50_target8	(0.215,0.262]	7	0.21769297484822203	m5C	210	50	8	902	251	1153	TRUE	TRUE
m5C_57_target8	(0.215,0.262]	7	0.24329501915708812	m5C	246	57	8	790	254	1044	TRUE	TRUE
m3B_02_target8	(0.215,0.262]	7	0.21851542952460384	m3B	157	2	8	937	262	1199	TRUE	TRUE
m3B_12_target4	(0.215,0.262]	7	0.23	m3B	177	12	4	693	207	900	TRUE	TRUE
m3B_17_target4	(0.215,0.262]	7	0.24126268320180383	m3B	187	17	4	673	214	887	TRUE	TRUE
m3B_25_target4	(0.215,0.262]	7	0.2216599190283401	m3B	225	25	4	769	219	988	TRUE	TRUE
m3B_24_target8	(0.215,0.262]	7	0.25917297612114154	m3B	245	24	8	1272	445	1717	TRUE	TRUE
m3B_52_target8	(0.215,0.262]	7	0.22876447876447875	m3B	170	52	8	799	237	1036	TRUE	TRUE
m3B_53_target8	(0.215,0.262]	7	0.24983776768332253	m3B	172	53	8	1156	385	1541	TRUE	TRUE
m3B_66_target4	(0.215,0.262]	7	0.23184357541899442	m3B	198	66	4	825	249	1074	TRUE	TRUE
m4A_06_target8	(0.262,0.31]	6	0.26466480446927376	m4A	34	6	8	1053	379	1432	TRUE	TRUE
m4A_17_target8	(0.262,0.31]	6	0.30125195618153366	m4A	78	17	8	893	385	1278	TRUE	TRUE
m4A_26_target4	(0.262,0.31]	6	0.30465587044534415	m4A	96	26	4	1374	602	1976	TRUE	TRUE
m4A_33_target4	(0.262,0.31]	6	0.30473637176050045	m4A	110	33	4	778	341	1119	TRUE	TRUE
m4A_40_target4	(0.262,0.31]	6	0.27129337539432175	m4A	146	40	4	924	344	1268	TRUE	TRUE
m4A_55_target4	(0.262,0.31]	6	0.29963235294117646	m4A	198	55	4	1143	489	1632	TRUE	TRUE
m4A_59_target4	(0.262,0.31]	6	0.27559055118110237	m4A	228	59	4	828	315	1143	TRUE	TRUE
m5C_23_target4	(0.262,0.31]	6	0.3005128205128205	m5C	90	23	4	682	293	975	TRUE	TRUE
m5C_36_target4	(0.262,0.31]	6	0.3029715762273902	m5C	138	36	4	1079	469	1548	TRUE	TRUE
m5C_42_target8	(0.262,0.31]	6	0.26655490360435874	m5C	172	42	8	875	318	1193	TRUE	TRUE
m5C_55_target4	(0.262,0.31]	6	0.29423328964613366	m5C	198	55	4	1077	449	1526	TRUE	TRUE
m5C_48_target8	(0.262,0.31]	6	0.29760923330585326	m5C	206	48	8	852	361	1213	TRUE	TRUE
m5C_59_target8	(0.262,0.31]	6	0.29376854599406527	m5C	250	59	8	714	297	1011	TRUE	TRUE
m5C_61_target8	(0.262,0.31]	6	0.2912723449001052	m5C	254	61	8	674	277	951	TRUE	TRUE
m5C_67_target4	(0.262,0.31]	6	0.30419977298524403	m5C	266	67	4	613	268	881	TRUE	TRUE
m3B_15_target4	(0.262,0.31]	6	0.29904306220095694	m3B	183	15	4	879	375	1254	TRUE	TRUE
m3B_19_target4	(0.262,0.31]	6	0.28844404003639673	m3B	191	19	4	782	317	1099	TRUE	TRUE
m3B_25_target8	(0.262,0.31]	6	0.3046875	m3B	247	25	8	534	234	768	TRUE	TRUE
m4A_01_target8	(0.31,0.357]	5	0.349232012934519	m4A	24	1	8	805	432	1237	TRUE	TRUE
m4A_07_target8	(0.31,0.357]	5	0.31197771587743733	m4A	36	7	8	988	448	1436	TRUE	TRUE
m4A_19_target4	(0.31,0.357]	5	0.3271889400921659	m4A	60	19	4	584	284	868	TRUE	TRUE
m4A_24_target4	(0.31,0.357]	5	0.35376532399299476	m4A	92	24	4	738	404	1142	TRUE	TRUE
m4A_38_target4	(0.31,0.357]	5	0.3242603550295858	m4A	142	38	4	1142	548	1690	TRUE	TRUE
m4A_44_target8	(0.31,0.357]	5	0.3323943661971831	m4A	176	44	8	711	354	1065	TRUE	TRUE
