Slide,Index,cell_ID,cluster
m5C,32,m5C_05_target8,2
m5C,34,m5C_06_target8,2
m5C,20,m5C_10_target4,2
m5C,46,m5C_12_target4,2
m5C,70,m5C_13_target8,2
m5C,52,m5C_15_target4,2
m5C,60,m5C_19_target4,2
m5C,100,m5C_28_target4,2
m5C,134,m5C_34_target4,2
m5C,142,m5C_38_target4,2
m5C,152,m5C_43_target4,2
m5C,154,m5C_44_target4,2
m5C,200,m5C_45_target8,2
m5C,180,m5C_46_target4,2
m5C,182,m5C_47_target4,2
m5C,204,m5C_47_target8,2
m5C,208,m5C_49_target8,2
m5C,188,m5C_50_target4,2
m5C,214,m5C_52_target8,2
m5C,198,m5C_55_target4,2
m5C,220,m5C_55_target8,2
m5C,252,m5C_60_target8,2
m5C,260,m5C_64_target8,2
m5C,268,m5C_68_target4,2
m5C,270,m5C_69_target4,2
m5C,296,m5C_71_target8,2
m5C,276,m5C_72_target4,2
m5C,282,m5C_75_target4,2
m3B,155,m3B_01_target8,1
m3B,157,m3B_02_target8,1
m3B,137,m3B_03_target4,1
m3B,139,m3B_04_target4,1
m3B,141,m3B_05_target4,1
m3B,165,m3B_06_target8,1
m3B,167,m3B_07_target8,1
m3B,173,m3B_10_target8,1
m3B,175,m3B_11_target8,1
m3B,177,m3B_12_target4,1
m3B,183,m3B_15_target4,1
m3B,187,m3B_17_target4,1
m3B,191,m3B_19_target4,1
m3B,193,m3B_20_target4,1
m3B,197,m3B_22_target4,1
m3B,223,m3B_24_target4,1
m3B,245,m3B_24_target8,1
m3B,225,m3B_25_target4,1
m3B,247,m3B_25_target8,1
m3B,251,m3B_27_target8,1
m3B,239,m3B_32_target4,1
m3B,287,m3B_34_target8,1
m3B,289,m3B_35_target8,1
m3B,269,m3B_36_target4,1
m3B,271,m3B_37_target4,1
m3B,136,m3B_46_target4,1
m3B,138,m3B_47_target4,1
m3B,140,m3B_48_target4,1
m3B,144,m3B_50_target4,1
m3B,168,m3B_51_target8,1
m3B,170,m3B_52_target8,1
m3B,172,m3B_53_target8,1
m3B,174,m3B_54_target8,1
m3B,154,m3B_55_target4,1
m3B,176,m3B_55_target8,1
m3B,200,m3B_56_target8,1
m3B,204,m3B_58_target8,1
m3B,206,m3B_59_target8,1
m3B,186,m3B_60_target4,1
m3B,188,m3B_61_target4,1
m3B,198,m3B_66_target4,1
m3B,220,m3B_66_target8,1
m3B,236,m3B_74_target4,1
m3B,258,m3B_74_target8,1
m4A,26,m4A_02_target8,1
m4A,28,m4A_03_target8,1
m4A,34,m4A_06_target8,1
m4A,36,m4A_07_target8,1
m4A,18,m4A_09_target4,1
m4A,70,m4A_13_target8,1
m4A,52,m4A_15_target4,1
m4A,74,m4A_15_target8,1
m4A,56,m4A_17_target4,1
m4A,78,m4A_17_target8,1
m4A,62,m4A_20_target4,1
m4A,90,m4A_23_target4,1
m4A,92,m4A_24_target4,1
m4A,114,m4A_24_target8,1
m4A,94,m4A_25_target4,1
m4A,96,m4A_26_target4,1
m4A,118,m4A_26_target8,1
m4A,120,m4A_27_target8,1
m4A,100,m4A_28_target4,1
m4A,126,m4A_30_target8,1
m4A,130,m4A_32_target8,1
m4A,132,m4A_33_target8,1
m4A,134,m4A_34_target4,1
m4A,160,m4A_36_target8,1
m4A,140,m4A_37_target4,1
m4A,142,m4A_38_target4,1
m4A,164,m4A_38_target8,1
m4A,144,m4A_39_target4,1
m4A,170,m4A_41_target8,1
m4A,172,m4A_42_target8,1
m4A,174,m4A_43_target8,1
m4A,154,m4A_44_target4,1
m4A,176,m4A_44_target8,1
m4A,200,m4A_45_target8,1
m4A,180,m4A_46_target4,1
m4A,208,m4A_49_target8,1
m4A,216,m4A_53_target8,1
m4A,198,m4A_55_target4,1
m4A,228,m4A_59_target4,1
m4A,252,m4A_60_target8,1
m4A,234,m4A_62_target4,1
m4A,256,m4A_62_target8,1
m4A,288,m4A_67_target8,1
m4A,270,m4A_69_target4,1
m4A,294,m4A_70_target8,1
m4A,296,m4A_71_target8,1
m4A,276,m4A_72_target4,1
m4A,298,m4A_72_target8,1
m4A,278,m4A_73_target4,1
m4A,284,m4A_76_target4,1
m5C,28,m5C_03_target8,1
m5C,30,m5C_04_target8,1
m5C,10,m5C_05_target4,1
m5C,12,m5C_06_target4,1
m5C,14,m5C_07_target4,1
m5C,36,m5C_07_target8,1
m5C,16,m5C_08_target4,1
m5C,68,m5C_12_target8,1
m5C,48,m5C_13_target4,1
m5C,50,m5C_14_target4,1
m5C,58,m5C_18_target4,1
m5C,62,m5C_20_target4,1
m5C,84,m5C_20_target8,1
m5C,64,m5C_21_target4,1
m5C,86,m5C_21_target8,1
m5C,90,m5C_23_target4,1
m5C,112,m5C_23_target8,1
m5C,94,m5C_25_target4,1
m5C,116,m5C_25_target8,1
m5C,120,m5C_27_target8,1
m5C,102,m5C_29_target4,1
m5C,104,m5C_30_target4,1
m5C,126,m5C_30_target8,1
m5C,130,m5C_32_target8,1
m5C,156,m5C_34_target8,1
m5C,136,m5C_35_target4,1
m5C,138,m5C_36_target4,1
m5C,140,m5C_37_target4,1
m5C,144,m5C_39_target4,1
m5C,146,m5C_40_target4,1
m5C,148,m5C_41_target4,1
m5C,170,m5C_41_target8,1
m5C,150,m5C_42_target4,1
m5C,172,m5C_42_target8,1
m5C,174,m5C_43_target8,1
m5C,176,m5C_44_target8,1
m5C,178,m5C_45_target4,1
